Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/2/2023 15:13,Mote04,qGEKNDBFiQo=,905300000,125,7,4/5,-62,12.5,10,68.76,24.38,0,13641,1
2/2/2023 15:13,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-64,7.8,10,68.54,25.29,0,141,1
2/2/2023 15:14,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-61,9.8,10,68.79,24.28,0,13642,1
2/2/2023 15:14,Mote01,qGEKMzVBjAY=,904900000,125,5,4/5,-78,12.5,10,68.23,25.09,0,14158,1
2/2/2023 15:15,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-65,13,10,68.23,26.75,0,12284,1
2/2/2023 15:15,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-61,10.2,10,68.52,25.4,0,143,1
2/2/2023 15:15,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-78,9.8,10,68.25,25.17,0,14159,1
2/2/2023 15:16,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-60,9.5,10,68.81,24.36,0,13644,1
2/2/2023 15:16,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-68,12.5,10,68.74,26.55,0,14298,1
2/2/2023 15:16,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-65,8.5,10,68.2,26.82,0,12286,1
2/2/2023 15:16,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-83,10.5,10,68.31,25.21,0,14160,1
2/2/2023 15:16,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-67,8,10,68.56,25.47,0,145,1
2/2/2023 15:17,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-68,12.8,10,68.74,26.58,0,14299,1
2/2/2023 15:17,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-65,12.2,10,68.25,26.85,0,12287,1
2/2/2023 15:18,Mote03,qGEKNDQkZg8=,905300000,125,7,4/5,-79,12.8,10,68.79,26.54,0,14300,1
2/2/2023 15:18,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-62,12.2,10,68.23,26.81,0,12288,1
2/2/2023 15:18,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-62,12,10,68.81,24.47,0,13647,1
2/2/2023 15:19,Mote05,qGEKMzA3fwE=,905300000,125,7,4/5,-69,10.5,10,68.67,25.45,0,147,1
2/2/2023 15:19,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-79,12,10,68.4,25.16,0,14162,1
2/2/2023 15:19,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-70,11.5,10,68.76,26.64,0,14301,1
2/2/2023 15:19,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-78,10.2,10,68.45,25.15,0,14163,1
2/2/2023 15:19,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-61,10.2,10,68.85,24.51,0,13648,1
2/2/2023 15:20,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-67,10.8,10,68.67,25.49,0,148,1
2/2/2023 15:20,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-65,12,10,68.32,26.93,0,12290,1
2/2/2023 15:21,Mote01,qGEKMzVBjAY=,904900000,125,5,4/5,-77,11.2,10,68.52,25.14,0,14164,1
2/2/2023 15:21,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-60,10.8,10,68.88,24.52,0,13649,1
2/2/2023 15:21,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-69,12.2,10,68.86,26.68,0,14303,1
2/2/2023 15:21,Mote02,qGEKNDExiAs=,904900000,125,5,4/5,-63,12.8,10,68.34,26.96,0,12291,1
2/2/2023 15:22,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-77,10.5,10,68.61,25.23,0,14165,1
2/2/2023 15:22,Mote04,qGEKNDBFiQo=,905300000,125,7,4/5,-63,10.2,10,68.88,24.56,0,13650,1
2/2/2023 15:22,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-66,8,10,68.52,26.74,0,14304,1
2/2/2023 15:22,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-63,11.8,10,68.4,27.02,0,12292,1
2/2/2023 15:22,Mote04,qGEKNDBFiQo=,904900000,125,5,4/5,-59,9.5,10,68.92,24.61,0,13651,1
2/2/2023 15:22,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-77,8.2,10,68.68,25.26,0,14166,1
2/2/2023 15:23,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-70,10.5,10,68.88,25.63,0,151,1
2/2/2023 15:23,Mote03,qGEKNDQkZg8=,904900000,125,5,4/5,-70,11.8,10,68.92,26.81,0,14305,1
2/2/2023 15:23,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-64,12.5,10,68.41,27.12,0,12293,1
2/2/2023 15:24,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-61,10.8,10,68.95,24.7,0,13652,1
2/2/2023 15:24,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-71,9.8,10,68.95,25.61,0,152,1
2/2/2023 15:25,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-59,7.8,10,68.99,24.79,0,13653,1
2/2/2023 15:25,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-68,12.8,10,68.9,26.96,0,14307,1
